SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION
1,leorek,FALSE,3128,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
1,leorek,FALSE,3128,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
2,Antku,FALSE,2303,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
2,Antku,FALSE,2303,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
3,PPLjkiu,FALSE,2282,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
3,PPLjkiu,FALSE,2282,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
4,chang,FALSE,2266,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
4,chang,FALSE,2266,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
5,Jangri,FALSE,2355,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
5,Jangri,FALSE,2355,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
6,tappu,FALSE,2263,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
6,tappu,FALSE,2263,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
7,ktriya,FALSE,2260,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
7,ktriya,FALSE,2260,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
8,ANtriya,FALSE,2276,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
8,ANtriya,FALSE,2276,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
9,TeerKn,FALSE,2247,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
9,TeerKn,FALSE,2247,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
10,tappu8,FALSE,5559,200,"0041
","A forbidden special character has been included for the field LastName. Please delete it from the field in order to continue.
",klif,v2
10,tappu8,FALSE,5559,200,"0041
","A forbidden special character has been included for the field LastName. Please delete it from the field in order to continue.
",klif,v2
11,JKS,FALSE,2276,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
11,JKS,FALSE,2276,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
12,Antukru,FALSE,2265,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
12,Antukru,FALSE,2265,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
13,Bujiya,FALSE,2306,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
13,Bujiya,FALSE,2306,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
14,tink8k,FALSE,5511,200,"0041
","A forbidden special character has been included for the field LastName. Please delete it from the field in order to continue.
",klif,v2
14,tink8k,FALSE,5511,200,"0041
","A forbidden special character has been included for the field LastName. Please delete it from the field in order to continue.
",klif,v2
15,duplicate,FALSE,2281,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
15,duplicate,FALSE,2281,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
16,luckky,FALSE,2254,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
16,luckky,FALSE,2254,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
17,Anmolll,FALSE,2302,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
17,Anmolll,FALSE,2302,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
18,prach,FALSE,2235,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
18,prach,FALSE,2235,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
19,chipstwiohfwuifwh,FALSE,2259,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
19,chipstwiohfwuifwh,FALSE,2259,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
20,qauartxsd,FALSE,2263,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
20,qauartxsd,FALSE,2263,200,"0014
","Impossible to insert a duplicate for this employee.
",klif,v2
21,1bvjhfse,FALSE,5384,200,"0041
","A forbidden special character has been included for the field LastName. Please delete it from the field in order to continue.
",klif,v2
21,1bvjhfse,FALSE,5384,200,"0041
","A forbidden special character has been included for the field LastName. Please delete it from the field in order to continue.
",klif,v2
