SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION
1,2642456,FALSE,2988,200,"0002
0002
0002
0010
0010
0008
0350
","The IdPerson field is mandatory.
The EffectiveDate field is mandatory.
The employee -1 does not exist.
The field SalaryStartDate is mandatory.
The field SalaryEndDate is mandatory.
The IdCurrency with the identifier 15 cannot be found.
The number of payrolls must be between 12 and 15 (included).
",arc,v1
2,30730,PASS,5620,200,"","",arc,v1
3,33793,PASS,5720,200,"","",arc,v1
4,102891,PASS,1961,200,"","",arc,v1
5,59260,PASS,1897,200,"","",arc,v1
6,60393,PASS,2207,200,"","",arc,v1
7,112142,PASS,2036,200,"","",arc,v1
8,112174,PASS,1870,200,"","",arc,v1
9,112396,PASS,1941,200,"","",arc,v1
10,176447,PASS,1932,200,"","",arc,v1
11,129877,PASS,2061,200,"","",arc,v1
12,174711,PASS,1864,200,"","",arc,v1
13,179106,PASS,3048,200,"","",arc,v1
14,135231,PASS,2007,200,"","",arc,v1
15,189384,PASS,1932,200,"","",arc,v1
16,191829,PASS,2040,200,"","",arc,v1
17,210490,PASS,1961,200,"","",arc,v1
18,233334,PASS,1957,200,"","",arc,v1
19,236829,PASS,1994,200,"","",arc,v1
20,257356,PASS,2286,200,"","",arc,v1
21,2642456,FALSE,2727,200,"0002
0002
0002
0010
0010
0008
0350
","The IdPerson field is mandatory.
The EffectiveDate field is mandatory.
The employee -1 does not exist.
The field SalaryStartDate is mandatory.
The field SalaryEndDate is mandatory.
The IdCurrency with the identifier 15 cannot be found.
The number of payrolls must be between 12 and 15 (included).
",arc,v1
22,30730,PASS,6097,200,"","",arc,v1
23,33793,PASS,6528,200,"","",arc,v1
24,102891,PASS,2135,200,"","",arc,v1
25,59260,PASS,2179,200,"","",arc,v1
26,60393,PASS,2144,200,"","",arc,v1
27,112142,PASS,2071,200,"","",arc,v1
28,112174,PASS,2032,200,"","",arc,v1
29,112396,PASS,2096,200,"","",arc,v1
30,176447,PASS,2108,200,"","",arc,v1
31,129877,PASS,2170,200,"","",arc,v1
32,174711,PASS,2088,200,"","",arc,v1
33,179106,PASS,2337,200,"","",arc,v1
34,135231,PASS,2251,200,"","",arc,v1
35,189384,PASS,2197,200,"","",arc,v1
36,191829,PASS,2221,200,"","",arc,v1
37,210490,PASS,2791,200,"","",arc,v1
38,233334,PASS,2216,200,"","",arc,v1
39,236829,PASS,2292,200,"","",arc,v1
40,257356,PASS,2227,200,"","",arc,v1
41,2642456,FALSE,2686,200,"0002
0002
0002
0010
0010
0008
0350
","The IdPerson field is mandatory.
The EffectiveDate field is mandatory.
The employee -1 does not exist.
The field SalaryStartDate is mandatory.
The field SalaryEndDate is mandatory.
The IdCurrency with the identifier 15 cannot be found.
The number of payrolls must be between 12 and 15 (included).
",arc,v1
42,30730,PASS,6615,200,"","",arc,v1
43,33793,PASS,6636,200,"","",arc,v1
44,102891,PASS,2495,200,"","",arc,v1
45,59260,PASS,2383,200,"","",arc,v1
46,60393,PASS,2707,200,"","",arc,v1
47,112142,PASS,2410,200,"","",arc,v1
48,112174,PASS,2385,200,"","",arc,v1
49,112396,PASS,2505,200,"","",arc,v1
50,176447,PASS,2489,200,"","",arc,v1
51,129877,PASS,2681,200,"","",arc,v1
52,174711,PASS,2415,200,"","",arc,v1
53,179106,PASS,2490,200,"","",arc,v1
54,135231,PASS,2685,200,"","",arc,v1
55,189384,PASS,2637,200,"","",arc,v1
56,191829,PASS,2643,200,"","",arc,v1
57,210490,PASS,2702,200,"","",arc,v1
58,233334,PASS,2590,200,"","",arc,v1
59,236829,PASS,2615,200,"","",arc,v1
60,257356,PASS,2654,200,"","",arc,v1
61,2642456,FALSE,2985,200,"0002
0002
0002
0010
0010
0008
0350
","The IdPerson field is mandatory.
The EffectiveDate field is mandatory.
The employee -1 does not exist.
The field SalaryStartDate is mandatory.
The field SalaryEndDate is mandatory.
The IdCurrency with the identifier 15 cannot be found.
The number of payrolls must be between 12 and 15 (included).
",arc,v1
62,30730,PASS,6827,200,"","",arc,v1
63,33793,PASS,6835,200,"","",arc,v1
64,102891,PASS,2155,200,"","",arc,v1
65,59260,PASS,2089,200,"","",arc,v1
