SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,ERROR CODE,ERROR MESSAGE,ENVIRONMENT,VERSION,,,Average response Time,Maximum Response Time,Minimum Response Time,Median
1,26424,PASS,1996,200,,,arc,v1,,,917.746,12194,694,836.5
2,30730,PASS,1178,200,,,arc,v1,,,,,,
3,216565,PASS,810,200,,,arc,v1,,,,,,
4,102891,PASS,921,200,,,arc,v1,,,,,,
5,59260,PASS,928,200,,,arc,v1,,,,,,
6,255966,PASS,765,200,,,arc,v1,,,,,,
7,112142,PASS,783,200,,,arc,v1,,,,,,
8,112174,PASS,891,200,,,arc,v1,,,,,,
9,112396,PASS,937,200,,,arc,v1,,,,,,
10,176447,PASS,801,200,,,arc,v1,,,,,,
11,129877,PASS,822,200,,,arc,v1,,,,,,
12,174711,PASS,743,200,,,arc,v1,,,,,,
13,179106,PASS,827,200,,,arc,v1,,,,,,
14,135231,PASS,866,200,,,arc,v1,,,,,,
15,189384,PASS,1218,200,,,arc,v1,,,,,,
16,276466,PASS,1047,200,,,arc,v1,,,,,,
17,210490,PASS,759,200,,,arc,v1,,,,,,
18,233334,PASS,736,200,,,arc,v1,,,,,,
19,236829,PASS,783,200,,,arc,v1,,,,,,
20,257356,PASS,755,200,,,arc,v1,,,,,,
21,26424,PASS,1130,200,,,arc,v1,,,,,,
22,30730,PASS,1120,200,,,arc,v1,,,,,,
23,216565,PASS,773,200,,,arc,v1,,,,,,
24,102891,PASS,901,200,,,arc,v1,,,,,,
25,59260,PASS,883,200,,,arc,v1,,,,,,
26,255966,PASS,737,200,,,arc,v1,,,,,,
27,112142,PASS,847,200,,,arc,v1,,,,,,
28,112174,PASS,806,200,,,arc,v1,,,,,,
29,112396,PASS,877,200,,,arc,v1,,,,,,
30,176447,PASS,828,200,,,arc,v1,,,,,,
31,129877,PASS,846,200,,,arc,v1,,,,,,
32,174711,PASS,740,200,,,arc,v1,,,,,,
33,179106,PASS,808,200,,,arc,v1,,,,,,
34,135231,PASS,829,200,,,arc,v1,,,,,,
35,189384,PASS,787,200,,,arc,v1,,,,,,
36,276466,PASS,769,200,,,arc,v1,,,,,,
37,210490,PASS,829,200,,,arc,v1,,,,,,
38,233334,PASS,728,200,,,arc,v1,,,,,,
39,236829,PASS,764,200,,,arc,v1,,,,,,
40,257356,PASS,800,200,,,arc,v1,,,,,,
41,26424,PASS,1131,200,,,arc,v1,,,,,,
42,30730,PASS,1123,200,,,arc,v1,,,,,,
43,216565,PASS,1358,200,,,arc,v1,,,,,,
44,102891,PASS,877,200,,,arc,v1,,,,,,
45,59260,PASS,867,200,,,arc,v1,,,,,,
46,255966,PASS,722,200,,,arc,v1,,,,,,
47,112142,PASS,783,200,,,arc,v1,,,,,,
48,112174,PASS,789,200,,,arc,v1,,,,,,
49,112396,PASS,891,200,,,arc,v1,,,,,,
50,176447,PASS,797,200,,,arc,v1,,,,,,
51,129877,PASS,835,200,,,arc,v1,,,,,,
52,174711,PASS,726,200,,,arc,v1,,,,,,
53,179106,PASS,815,200,,,arc,v1,,,,,,
54,135231,PASS,874,200,,,arc,v1,,,,,,
55,189384,PASS,803,200,,,arc,v1,,,,,,
56,276466,PASS,761,200,,,arc,v1,,,,,,
57,210490,PASS,764,200,,,arc,v1,,,,,,
58,233334,PASS,708,200,,,arc,v1,,,,,,
59,236829,PASS,756,200,,,arc,v1,,,,,,
60,257356,PASS,737,200,,,arc,v1,,,,,,
61,26424,PASS,1125,200,,,arc,v1,,,,,,
62,30730,PASS,1150,200,,,arc,v1,,,,,,
63,216565,PASS,817,200,,,arc,v1,,,,,,
64,102891,PASS,930,200,,,arc,v1,,,,,,
65,59260,PASS,891,200,,,arc,v1,,,,,,
66,255966,PASS,752,200,,,arc,v1,,,,,,
67,112142,PASS,812,200,,,arc,v1,,,,,,
68,112174,PASS,813,200,,,arc,v1,,,,,,
69,112396,PASS,908,200,,,arc,v1,,,,,,
70,176447,PASS,828,200,,,arc,v1,,,,,,
71,129877,PASS,911,200,,,arc,v1,,,,,,
72,174711,PASS,779,200,,,arc,v1,,,,,,
73,179106,PASS,838,200,,,arc,v1,,,,,,
74,135231,PASS,867,200,,,arc,v1,,,,,,
75,189384,PASS,834,200,,,arc,v1,,,,,,
76,276466,PASS,789,200,,,arc,v1,,,,,,
77,210490,PASS,791,200,,,arc,v1,,,,,,
78,233334,PASS,761,200,,,arc,v1,,,,,,
79,236829,PASS,774,200,,,arc,v1,,,,,,
80,257356,PASS,787,200,,,arc,v1,,,,,,
81,26424,PASS,1097,200,,,arc,v1,,,,,,
82,30730,PASS,1908,200,,,arc,v1,,,,,,
