SERIAL NUMBER,ID,RESULT,RESPONSE TIME,STATUS CODE,"ERROR CODE","ERROR MESSAGE",ENVIRONMENT,VERSION, , ,AverageResponseOfID,MaximumDuration,MinimunDuration,Mode,Median
1,216865,PASS,3215,200,"","",arc,v1, , ,1350.54,15068,824,872,959,
2,230190,PASS,2336,200,"","",arc,v1, , ,,,,,
3,213269,PASS,2355,200,"","",arc,v1, , ,,,,,
4,216906,PASS,2470,200,"","",arc,v1, , ,,,,,
5,230545,PASS,2710,200,"","",arc,v1, , ,,,,,
6,213286,PASS,3044,200,"","",arc,v1, , ,,,,,
7,217021,PASS,3048,200,"","",arc,v1, , ,,,,,
8,230771,PASS,5344,200,"","",arc,v1, , ,,,,,
9,231461,PASS,3178,200,"","",arc,v1, , ,,,,,
10,213347,PASS,3371,200,"","",arc,v1, , ,,,,,
11,231505,PASS,3301,200,"","",arc,v1, , ,,,,,
12,211830,PASS,3223,200,"","",arc,v1, , ,,,,,
13,217905,PASS,4174,200,"","",arc,v1, , ,,,,,
14,232145,PASS,4231,200,"","",arc,v1, , ,,,,,
15,139542,PASS,4587,200,"","",arc,v1, , ,,,,,
16,116353,PASS,3372,200,"","",arc,v1, , ,,,,,
17,218406,PASS,3461,200,"","",arc,v1, , ,,,,,
18,213604,PASS,4126,200,"","",arc,v1, , ,,,,,
19,232401,PASS,3899,200,"","",arc,v1, , ,,,,,
20,219825,PASS,4147,200,"","",arc,v1, , ,,,,,
21,232716,PASS,4232,200,"","",arc,v1, , ,,,,,
22,213600,PASS,4054,200,"","",arc,v1, , ,,,,,
23,157390,PASS,4337,200,"","",arc,v1, , ,,,,,
24,213633,PASS,3821,200,"","",arc,v1, , ,,,,,
25,222271,PASS,3855,200,"","",arc,v1, , ,,,,,
26,233329,PASS,4307,200,"","",arc,v1, , ,,,,,
27,213603,PASS,2691,200,"","",arc,v1, , ,,,,,
28,233350,PASS,3073,200,"","",arc,v1, , ,,,,,
29,222546,PASS,3062,200,"","",arc,v1, , ,,,,,
30,213635,PASS,3284,200,"","",arc,v1, , ,,,,,
31,233334,PASS,2964,200,"","",arc,v1, , ,,,,,
32,222606,PASS,2905,200,"","",arc,v1, , ,,,,,
33,214768,PASS,3046,200,"","",arc,v1, , ,,,,,
34,233487,PASS,3287,200,"","",arc,v1, , ,,,,,
35,222945,PASS,3091,200,"","",arc,v1, , ,,,,,
36,215152,PASS,3166,200,"","",arc,v1, , ,,,,,
37,223705,PASS,3251,200,"","",arc,v1, , ,,,,,
38,233718,PASS,3202,200,"","",arc,v1, , ,,,,,
39,233721,PASS,3412,200,"","",arc,v1, , ,,,,,
40,215695,PASS,3474,200,"","",arc,v1, , ,,,,,
41,233851,PASS,3569,200,"","",arc,v1, , ,,,,,
42,70521,PASS,3497,200,"","",arc,v1, , ,,,,,
43,234207,PASS,3461,200,"","",arc,v1, , ,,,,,
44,217890,PASS,3753,200,"","",arc,v1, , ,,,,,
